# redshift                Ha6563rest              OII3726rest             OII3729rest             OIII4959rest            OIII5007rest            
  8.396243497404345e-01   1.343268949790449e+40   6.021017675463106e+38   8.939639526839187e+38   5.726418233765587e+39   1.724483018645316e+40   
  8.451223146920697e-01   1.343984204566844e+41   6.066021635313133e+39   8.999008067116374e+39   5.419084459887780e+40   1.631971567097887e+41   
  8.459353627790933e-01   3.364855562999549e+39   1.060215612626966e+38   1.572840578564495e+38   1.017378810039442e+39   3.063507432906233e+39   
  8.407633853192413e-01   4.254723030590454e+41   1.212919272168997e+40   1.799407867312990e+40   5.663944114618059e+40   1.705413439436543e+41   
  8.500729919796066e-01   1.885031710829981e+40   9.093517410949576e+38   1.349779101171231e+39   6.996768217437406e+39   2.107250571979198e+40   
  8.411184052114244e-01   1.031246955538487e+42   3.068061872748604e+40   4.551947192565121e+40   1.460713708627759e+41   4.398615217199777e+41   
  8.506563395515667e-01   2.403258254441137e+38   1.039657034641058e+37   1.544063487710981e+37   1.165763497847697e+38   3.512404082599088e+38   
  8.474119259499480e-01   1.882950984250580e+40   8.509182866523761e+38   1.262350191711565e+39   7.621363253491690e+39   2.295198713808848e+40   
  8.475975565915774e-01   4.335401874919961e+40   1.489576169397824e+39   2.210619382238330e+39   7.907030233764392e+39   2.381606347902941e+40   
  8.461981493724913e-01   3.804052898084701e+41   1.113231255793383e+40   1.651515720394838e+40   5.188281139581515e+40   1.562318213583515e+41   
  8.472247833849360e-01   7.147885551845778e+40   3.501246635652161e+39   5.194628426123231e+39   3.043548411323525e+40   9.166528715661545e+40   
  9.777147286747547e-01   2.075054419614693e+39   9.794748786537174e+37   1.453223911442582e+38   8.890585533599372e+38   2.677374921629930e+39   
  9.797697107436247e-01   3.864353394827623e+39   1.824209513084185e+38   2.706431409294721e+38   1.603419015337061e+39   4.828814666638060e+39   
  9.781037703009743e-01   2.959099414344103e+39   1.365551959825345e+38   2.027696534113579e+38   1.126384019349527e+39   3.391864230350008e+39   
  9.767130375051305e-01   1.885152087728421e+41   5.838256743444900e+39   8.662360955117209e+39   2.828477457407487e+40   8.518009167338009e+40   
  9.770574795453617e-01   5.241098146361159e+41   1.317106516465560e+40   1.954168003836720e+40   5.206223914425716e+40   1.567315380159256e+41   
  9.792459013891923e-01   1.074598908166704e+41   4.262220031677532e+39   6.327248334551385e+39   2.625469545821657e+40   7.909920599778954e+40   
  9.795340557884911e-01   9.820939980302633e+40   4.627818108765240e+39   6.870773617715251e+39   3.299609432382285e+40   9.938714733201749e+40   
  9.757608770932213e-01   2.959194803519616e+40   1.304193506749479e+39   1.936059590846379e+39   9.334960710177393e+39   2.812283570326601e+40   
  9.681724361389812e-01   3.434372178416648e+37   9.773088579935429e+35   1.448918089994979e+36   1.784952633249266e+37   5.378073036866905e+37   
  9.676749555444373e-01   2.610862761580921e+40   1.250852124620909e+39   1.855617909915324e+39   1.093420339713210e+40   3.293671653172564e+40   
