# z    ,     O[III] EW / H beta EW
     0.774299,     -549.460
     0.742337,     0.588380
     0.713612,      6.75896
     0.807632,      1.60200
     0.776094,      3.77505
     0.739695,      1.07853
     0.835878,     -307.016
     0.836174,     -229.476
     0.739739,     0.889844
     0.685288,     0.177492
     0.686879,      1.49126
     0.828596,     -1024.56
     0.735993,      1.41333
     0.737777,     0.268558
     0.671603,     0.607315
     0.679637,      1.44014
     0.740505,      5.40020
     0.733678,     -826.171
     0.739380,      1.20057
     0.806882,     -709.441
     0.733271,      2.61568
     0.708862,    -0.114699
     0.739127,      2.35885
     0.753999,      1.22112
     0.808332,     -525.197
     0.808046,     -366.016
     0.807879,     -366.016
     0.745780,      1.89341
     0.733327,     0.911299
     0.754578,      3.23227
     0.754476,     0.771469
     0.747803,      1.34003
     0.690180,     0.838775
     0.742203,      4.15328
     0.865443,     -974.281
     0.740768,      2.02117
     0.819198,     0.542414
     0.705973,     0.542828
     0.716945,     0.235048
     0.716588,      1.51060
     0.688978,      1.68924
     0.686532,     0.804953
     0.741801,      2.72078
     0.687255,      2.11508
     0.678662,      1.59307
     0.677958,      1.46821
     0.708837,      2.71100
     0.678679,     0.346709
     0.742394,     0.278965
     0.677939,     0.491904
     0.741451,      5.85090
     0.683432,      2.52151
     0.740423,      1.85942
     0.740921,      1.31938
     0.651694,      3.76731
     0.673967,     0.834080
     0.753615,     -589.891
     0.677194,      1.20091
     0.742108,      2.74897
     0.764584,     0.529482
     0.674519,     0.169553
     0.733807,      1.26190
     0.671883,      1.72184
     0.746051,      2.83549
     0.827679,      4.66553
     0.761845,      3.47281
     0.718739,     0.776173
     0.766215,      1.32733
     0.762047,     0.932205
     0.800329,     -403.381
     0.682982,      2.79397
     0.682911,      2.79397
     0.741031,     -592.431
     0.741107,     -592.431
     0.741396,     0.184490
     0.724711,      5.06361
     0.787777,      4.61941
     0.728017,     0.604129
     0.760909,      1.58075
     0.680340,     0.710179
     0.761846,      5.44817
     0.729745,      1.01763
     0.770958,      3.13640
     0.698965,     0.483180
     0.718167,     0.927045
     0.718038,      1.99253
     0.832030,     -1201.23
     0.788841,     -1300.92
     0.771128,     -686.612
     0.769755,      3.51420
     0.767538,     0.346014
     0.829134,     -580.733
     0.718373,      2.35431
     0.719930,      1.54452
     0.762941,      1.34611
     0.735023,      1.17412
     0.843655,     -785.465
     0.848384,     -1167.52
     0.750279,     -477.996
     0.717243,      3.33905
     0.708459,      2.56145
