# z      ,        O[II] EW
     0.759853,      35.3875
      1.38037,      32.4659
     0.949375,      49.8401
      1.04330,      65.0176
      1.05686,      25.6967
     0.949096,      24.9411
      1.08522,      59.3280
     0.964673,      43.1701
      1.08696,      70.9577
      1.18479,      10.5416
     0.843102,      34.9982
      1.24476,      34.0776
      1.02570,      43.5761
     0.783261,      79.0157
     0.761333,      10.5119
     0.760089,      33.9609
      1.08711,      17.5649
     0.763973,      30.9620
     0.841372,      67.0176
      1.07854,      24.7815
     0.766455,      74.6958
      1.21356,      92.4659
      1.03036,      31.6372
      1.26550,      75.2822
      1.08794,      95.6937
      1.21247,      49.8392
      1.19820,      87.8264
     0.847795,      21.9018
      1.02105,      11.5417
      1.26448,      64.7987
      1.21001,      54.5491
      1.26477,      32.9925
     0.836126,      37.1100
      1.02119,      34.4384
     0.815609,      75.3278
     0.995747,      34.1401
     0.957601,      56.8665
      1.33332,      61.1665
     0.952000,      49.0151
      1.01938,      46.0205
      1.28191,      105.604
     0.786763,      47.7925
      1.09051,      87.4005
      1.35122,      20.2084
      1.41455,      141.331
      1.39751,      51.6640
      1.35141,      63.3429
     0.937263,      29.6831
     0.937276,      46.6994
      1.26581,      121.201
      1.16896,      42.5697
      1.41696,      40.5824
     0.837876,      14.5068
     0.956428,      50.6485
     0.842310,      27.8863
      1.21351,      24.5351
     0.733749,      31.3550
      1.33492,      38.6594
     0.738606,      65.8168
      1.27708,      27.9315
      1.39773,      44.4828
      1.13705,      34.8887
     0.915947,      7.70772
     0.904684,      86.3669
      1.39817,      39.5392
      1.03572,      58.8203
     0.925623,      15.8559
     0.937168,      25.2298
     0.914750,      16.5985
     0.902913,      37.8424
     0.925256,      18.3200
     0.904525,      27.1655
     0.842583,      73.5355
     0.936257,      28.4715
      1.02994,      39.8664
      1.03989,      41.4308
      1.05554,      43.9325
      1.04251,      58.9971
     0.817035,      41.3198
     0.816737,      30.5169
      1.00075,      125.364
     0.842672,      33.6092
     0.739833,      24.0545
      1.23228,      27.5013
     0.773522,      34.5964
      1.27960,      27.0026
     0.965654,      11.2298
     0.732684,      20.5566
     0.772326,      45.9175
      1.04083,      66.6261
      1.41453,      70.1381
      1.23320,      6.43285
     0.986386,      58.5110
     0.817616,      48.7804
      1.00208,      25.0145
      1.03424,      55.8422
      1.03289,      46.2101
     0.950297,      30.2076
     0.817150,      64.3479
      1.02635,      181.467
      1.03110,      32.6946
     0.743689,      65.9961
     0.744838,      33.5538
      1.01223,      48.9583
     0.813941,      16.6482
     0.788902,      66.4930
     0.842736,      18.1606
     0.966885,      33.6404
      1.28069,      95.0745
     0.786867,      37.7267
     0.817614,      38.1045
      1.11835,      42.8739
     0.728790,      41.9761
      1.03024,      61.0209
      1.01500,      63.1122
     0.742678,      62.0318
     0.743910,      40.0478
     0.817310,      46.4257
     0.953867,      84.0021
      1.39462,      18.4530
     0.742900,      14.1748
     0.743754,      7.91293
     0.948559,      43.4020
      1.40063,      126.840
     0.948172,      61.9816
      1.26777,      32.0727
     0.816450,      65.4681
     0.996587,      31.0894
     0.908296,      38.7706
     0.844024,      9.35033
      1.02463,      59.8342
     0.841873,      30.1346
      1.09678,      36.0081
     0.877025,      16.6512
      1.17660,      18.0656
     0.826182,      39.0902
     0.782472,      53.8175
     0.821401,      91.3112
     0.784325,      12.9574
     0.976432,      63.7528
     0.733516,      16.3773
     0.785547,      47.0927
      1.08945,      25.4021
     0.957083,      45.5457
     0.905263,      28.9885
      1.01679,      64.4431
      1.03850,      43.0049
      1.16489,      31.1666
     0.940718,      23.3207
     0.982930,      37.1252
     0.977720,      33.7808
      1.01761,      46.6854
      1.06028,      38.3104
      1.01669,      52.5613
     0.738013,      56.1805
     0.980910,      31.3409
      1.01506,      46.0493
     0.845653,      30.2167
      1.26085,      38.8173
     0.952177,      36.4607
      1.15921,      29.8999
      1.03710,      20.6377
     0.772294,      40.7267
      1.33363,      32.5680
     0.920750,      50.4235
      1.27998,      96.0552
      1.17721,      46.3327
     0.842210,      24.0037
      1.00603,      65.5664
      1.04858,      30.1841
     0.935928,      32.0595
      1.12543,      43.1302
     0.781652,      52.9377
      1.19592,      69.6573
     0.818137,      43.0332
     0.817886,      7.76821
      1.36338,      70.4632
      1.36534,      26.6975
     0.932711,      29.2749
     0.936475,      51.2350
     0.914280,      31.4578
      1.40747,      35.4444
      1.09943,      38.2068
      1.33412,      107.086
     0.851746,      31.2707
